6400,37310
4100,23818
1800,10122
8200,52560
5900,37518
3600,19502
10000,64828
1300,6412
7700,49826
5400,33250
3100,16446
9500,57480
800,3906
7200,42482
4900,28016
2600,13466
9000,53132
300,1406
6700,38830
4400,26848
2100,10710
8500,52636
6200,37700
3900,21912
1600,8124
8000,47224
5700,36248
3400,18294
9800,58326
1100,5450
7500,48282
5200,32792
2900,15184
9300,55758
600,3134
7000,42884
4700,28202
2400,12364
8800,52772
100,348
6500,37476
4200,25438
1900,10818
8300,48786
6000,38162
3700,20506
1400,7014
7800,45628
5500,34766
3200,17156
9600,56832
900,4442
7300,46840
5000,29966
2700,14640
9100,53856
400,1884
6800,39962
4500,27652
2200,11438
8600,51068
6300,37102
4000,23376
1700,8674
8100,50708
5800,36818
3500,19592
9900,58896
1200,6036
7600,48872
5300,33504
3000,16214
9400,60522
700,3456
7100,41720
4800,28670
2500,13090
8900,55564
200,848
6600,38198
4300,24944
2000,10260
8400,49166
6100,35816
3800,22898
1500,7506
7900,46942
5600,35478
3300,17632
9700,57110
1000,5030
7400,47506
5100,31072
2800,14674
9200,58720
500,2466
6900,40296
4600,28338
2300,11790
8700,50728
