12288,30754
75522,189630
42885,108172
10248,25614
73482,184942
40845,103842
8209,20642
71442,179774
38806,99060
6169,15578
69403,174546
36766,93060
4129,10332
100000,255550
67363,170492
34726,88530
2089,5198
97960,249934
65323,165620
32686,83440
95920,242480
50,190
63283,157538
30646,76950
93880,240266
61243,154114
28607,72154
91840,232518
59204,149416
26567,66344
89801,228398
57164,143184
24527,61418
87761,222762
55124,140210
22487,56340
85721,217542
53084,135694
20447,51866
83681,212946
51044,131730
18408,46452
81641,205864
49005,122422
16368,41400
79602,199732
46965,120488
14328,35856
77562,193942
44925,113590
