4356,4786918
2822,1953092
1287,354114
4109,4196192
2574,1638378
1040,206158
3861,3715024
2327,1295632
792,106134
3614,3255324
2079,1047654
545,47052
4901,6123138
3366,2830672
1832,767192
297,14918
4653,5441662
3119,2408326
1584,539146
4406,4831672
2871,1987824
1337,370740
4158,4317060
2624,1700418
1089,231020
3911,3835758
2376,1332022
842,120170
3663,3358210
2129,1051746
594,56520
4950,6245644
3416,2882140
1881,815014
347,19418
4703,5625888
3168,2540164
1634,589352
100,3002
4455,5001706
2921,2104020
1386,395160
4208,4469954
2673,1718276
1139,257266
3960,3921038
2426,1425746
891,142384
3713,3466464
2178,1123716
644,66826
5000,6356944
3465,3000926
1931,852800
396,24816
4752,5757090
3218,2571222
1683,624962
149,5054
4505,5151038
2970,2145960
1436,455766
4257,4505280
2723,1820356
1188,278774
4010,4074784
2475,1524330
941,157180
3762,3561234
2228,1188590
693,78828
3515,3079306
1980,922130
446,31226
4802,5829580
3267,2673338
1733,685696
198,7760
4554,5250120
3020,2228658
1485,477244
4307,4712568
2772,1887878
1238,319790
4059,4072624
2525,1569664
990,181368
3812,3673422
2277,1256210
743,91308
3564,3202676
2030,965170
495,38458
4851,5943130
3317,2753760
1782,749028
248,10984
4604,5354258
3069,2317256
1535,518432
