4356,4427418
2822,1785722
1287,311778
4109,3941670
2574,1480572
1040,185760
3861,3450174
2327,1179592
792,100312
3614,3025236
2079,903034
545,48640
4901,5758156
3366,2607894
1832,686284
297,16364
4653,5071202
3119,2225078
1584,492944
4406,4558642
2871,1854944
1337,339236
4158,4066178
2624,1527942
1089,208390
3911,3549416
2376,1235132
842,113614
3663,3093054
2129,954934
594,57370
4950,5842288
3416,2652948
1881,724008
347,21236
4703,5230984
3168,2291816
1634,530054
100,3344
4455,4655804
2921,1909390
1386,366980
4208,4125636
2673,1584330
1139,229870
3960,3662950
2426,1268464
891,128118
3713,3179298
2178,1005840
644,66900
5000,5953822
3465,2757370
1931,765986
396,26840
4752,5341340
3218,2337870
1683,566704
149,5660
4505,4798418
2970,1988182
1436,397556
4257,4235868
2723,1651682
1188,261956
4010,3766624
2475,1356374
941,145522
3762,3267516
2228,1052024
693,78106
3515,2852426
1980,828702
446,33338
4802,5459886
3267,2449390
1733,603760
198,8508
4554,4883242
3020,2083052
1485,434658
4307,4343176
2772,1723026
1238,288716
4059,3840962
2525,1404468
990,163140
3812,3360496
2277,1106624
743,88000
3564,2933256
2030,858466
495,40552
4851,5582368
3317,2542602
1782,639206
248,12022
4604,5022446
3069,2121706
1535,466636
