12288,40740
75522,268856
42885,141926
10248,33924
73482,247764
40845,134688
8209,27238
71442,245036
38806,128352
6169,20564
69403,234406
36766,121548
4129,13816
100000,401818
67363,229224
34726,114210
2089,7260
97960,387124
65323,221750
32686,108012
95920,364612
50,260
63283,213344
30646,101196
93880,351272
61243,204184
28607,94626
91840,345700
59204,197076
26567,87998
89801,330234
57164,188918
24527,82814
87761,313880
55124,184356
22487,74800
85721,300918
53084,177594
20447,67668
83681,303182
51044,171032
18408,60728
81641,288468
49005,162018
16368,53930
79602,273272
46965,159904
14328,47174
77562,264318
44925,152346
